split	model_id
train	00000061
train	00000070
train	00000168
train	00000329
train	00000348
train	00000356
train	00000413
train	00000418
train	00000559
train	00000633
train	00000638
train	00000711
train	00000712
train	00000714
train	00000802
train	00000842
train	00000843
train	00000849
train	00000954
train	00000960
train	00001000
train	00001005
train	00001009
train	00001010
train	00001014
train	00001020
train	00001109
train	00001164
train	00001170
train	00001211
train	00001213
train	00001348
train	00001398
train	00001400
train	00001402
train	00001403
train	00001408
train	00001410
train	00001497
train	00001503
train	00001519
train	00001537
train	00001539
train	00001541
train	00001579
train	00001614
train	00001623
train	00001749
train	00001776
train	00001817
train	00001865
train	00001877
train	00001906
train	00001965
train	00001970
train	00001971
train	00001972
train	00001995
train	00002065
train	00002090
train	00002091
train	00002096
train	00002211
train	00002240
train	00002241
train	00002290
train	00002297
train	00002316
train	00002338
train	00002347
train	00002406
train	00002407
train	00002505
train	00002507
train	00002512
train	00002530
train	00002629
train	00002633
train	00002680
train	00002682
train	00002698
train	00002719
train	00002745
train	00002840
train	00002852
train	00002855
train	00002886
train	00002958
train	00002963
train	00002975
train	00003117
train	00003143
train	00003144
train	00003173
train	00003203
train	00003210
train	00003211
train	00003280
train	00003288
train	00003337
train	00003407
train	00003419
train	00003444
train	00003519
train	00003558
train	00003593
train	00003676
train	00003709
train	00003710
train	00003803
train	00003805
train	00003810
train	00003813
train	00003823
train	00003847
train	00003857
train	00003867
train	00003869
train	00003954
train	00003988
train	00004043
train	00004055
train	00004064
train	00004078
train	00004118
train	00004125
train	00004252
train	00004261
train	00004267
train	00004282
train	00004296
train	00004308
train	00004320
train	00004333
train	00004334
train	00004339
train	00004383
train	00004409
train	00004423
train	00004433
train	00004529
train	00004629
train	00004640
train	00004643
train	00004677
train	00004698
train	00004700
train	00004747
train	00004929
train	00004934
train	00004965
train	00004981
train	00005041
train	00005042
train	00005044
train	00005057
train	00005062
train	00005085
train	00005087
train	00005107
train	00005110
train	00005140
train	00005143
train	00005277
train	00005312
train	00005314
train	00005316
train	00005317
train	00005318
train	00005321
train	00005338
train	00005341
train	00005414
train	00005419
train	00005421
train	00005442
train	00005463
train	00005496
train	00005497
train	00005498
train	00005560
train	00005562
train	00005568
train	00005569
train	00005597
train	00005655
train	00005670
train	00005689
train	00005690
train	00005793
train	00005826
train	00005893
train	00005894
train	00005899
train	00005904
train	00005915
train	00005921
train	00006003
train	00006007
train	00006109
train	00006137
train	00006190
train	00006302
train	00006383
train	00006447
train	00006455
train	00006463
train	00006466
train	00006467
train	00006470
train	00006471
train	00006495
train	00006519
train	00006527
train	00006546
train	00006547
train	00006577
train	00006578
train	00006625
train	00006629
train	00006642
train	00006645
train	00006674
train	00006676
train	00006677
train	00006699
train	00006817
train	00006845
train	00006875
train	00006884
train	00006889
train	00006892
train	00007026
train	00007054
train	00007093
train	00007128
train	00007140
train	00007184
train	00007185
train	00007188
train	00007189
train	00007190
train	00007191
train	00007192
train	00007202
train	00007251
train	00007254
train	00007256
train	00007280
train	00007282
train	00007314
train	00007441
train	00007454
train	00007498
train	00007532
train	00007536
train	00007540
train	00007612
train	00007652
train	00007676
train	00007687
train	00007731
train	00007808
train	00007809
train	00007810
train	00007825
train	00007848
train	00007882
train	00007883
train	00007884
train	00007987
train	00008056
train	00008065
train	00008117
train	00008132
train	00008136
train	00008168
train	00008231
train	00008277
train	00008298
train	00008299
train	00008377
train	00008378
train	00008379
train	00008391
train	00008396
train	00008398
train	00008420
train	00008427
train	00008453
train	00008572
train	00008609
train	00008629
train	00008750
train	00008905
train	00008926
train	00008929
train	00008936
train	00008950
train	00008964
train	00009000
train	00009014
train	00009017
train	00009035
train	00009038
train	00009045
train	00009103
train	00009105
